"","Price","Age_08_04","KM","HP","Met_Color","Automatic","CC","Doors","Quarterly_Tax","Weight","pred.test"
"1376",7750,80,57000,86,0,0,1300,4,69,1000,6431.22983645745
"1377",7800,73,56566,110,1,0,1600,3,69,1050,8651.62163089704
"1378",8750,73,56307,110,1,0,1600,3,69,1050,8656.09238753204
"1384",10950,76,53133,110,1,0,1600,5,85,1070,8688.49037826462
"1385",9450,77,52900,110,1,0,1600,4,19,1075,8854.93270321661
"1389",8750,75,52000,110,0,0,1600,5,19,1075,8965.49587152212
"1390",8750,69,52000,110,1,0,1600,3,69,1050,9182.16110275568
"1392",8950,70,51874,86,0,0,1300,4,69,1000,7649.02025943416
"1394",7250,69,49640,110,1,0,1600,4,69,1035,8658.51268933292
"1399",8950,75,48400,110,1,0,1600,5,85,1075,9027.63766258773
"1400",8950,74,48242,86,1,0,1300,5,69,1035,8140.7791349927
"1401",7450,70,47955,110,1,0,1600,5,85,1070,9455.45543803296
"1404",7000,73,47360,86,0,0,1300,3,69,1010,7808.01539646596
"1405",8500,77,45507,110,1,0,1600,3,69,1050,8390.79479387177
"1410",7900,75,43720,110,1,0,1600,5,85,1070,8963.90464200683
"1427",9950,78,30964,110,0,1,1600,3,85,1080,9396.00372025105
